"mindex","n","predictors","rsquare","adjr","rmse","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
14,2,"Incidents_HIV Schooling",0.708003806394513,0.70779968462338,5.08159014632792,0.707008222838624,2100.98829165675,17447.2555279149,9316.68388295382,17471.0954260273,74033.3652652078,25.8767126796721,0.292608558918885,0.0090383341075051
15,2,"Polio Incidents_HIV",0.62576621619294,0.625504605718415,5.75284316745498,0.62476082918604,3497.63405579526,18157.9282757912,10026.3484720158,18181.7681739035,94884.0670457572,33.1646107403911,0.375018615230633,0.0115838837849169
16,2,"Polio Schooling",0.616956461932127,0.616688692943614,5.82016248545165,0.616227278915535,3647.25062336862,18224.5677321831,10092.9027541751,18248.4076302954,97117.7117622655,33.9453314647631,0.383846845033412,0.0118565774164024
17,2,"Diphtheria Schooling",0.614112670311808,0.61384291335292,5.84172755714763,0.613364341433754,3695.54690139521,18245.7520978428,10114.0603675677,18269.5919959551,97838.7330234184,34.1973483755702,0.386696600564854,0.0119446030118021
18,2,"Diphtheria Incidents_HIV",0.610850478620776,0.61057844120632,5.86636781816545,0.609702211650842,3750.94889208974,18269.8618473727,10138.1398597381,18293.701745485,98665.8363703668,34.4864439149761,0.389965633622592,0.0120455795966754
19,2,"GDP_per_capita Schooling",0.574093850433332,0.57379611806733,6.13716775564673,0.573343156413789,4375.18884046586,18528.3532337131,10396.319284678,18552.1931318254,107985.193745946,37.7438175640487,0.426799346664675,0.01318332965472
20,2,"Polio GDP_per_capita",0.57292335095953,0.572624800348526,6.14559522593006,0.571937087071892,4395.06750091792,18536.213445203,10404.1703605885,18560.0533433153,108281.964789489,37.8475472675126,0.427972300873481,0.0132195608301551
21,2,"BMI Incidents_HIV",0.572148518464238,0.571849426201717,6.15116758518972,0.570878198844034,4408.22652612541,18541.4048075989,10409.35570045,18565.2447057112,108478.417546064,37.9162129497873,0.428748758323324,0.0132435446872161
22,2,"Hepatitis_B Schooling",0.566814672026893,0.566511851105556,6.18939084951318,0.565866753777495,4498.81154953166,18576.8883814362,10444.7983465292,18600.7282795485,109830.772851414,38.3888986037762,0.434093790737119,0.0134086464496178
23,2,"BMI Schooling",0.566181139245943,0.56587787544954,6.19391518253088,0.565284928544566,4509.57087349517,18581.0739164801,10448.9790810428,18604.9138145925,109991.400163711,38.4450423005257,0.434728652143265,0.0134282565714882
24,2,"Diphtheria GDP_per_capita",0.559424124814323,0.559116137484588,6.24196595375469,0.558351591656504,4624.32564149133,18625.3387633823,10493.193508364,18649.1786614946,111704.588652032,39.043849150918,0.441499837174882,0.0136374105102711
25,2,"Measles Schooling",0.557307251910417,0.556997784767397,6.25694364023897,0.556397043497475,4660.27661679609,18639.0667175853,10506.9059549608,18662.9066156977,112241.30532282,39.2314465001758,0.443621149518642,0.0137029353526753
26,2,"Incidents_HIV GDP_per_capita",0.552345452361833,0.552032516641709,6.29191054741672,0.550755454543393,4744.54314631194,18670.9885105551,10538.7919228672,18694.8284086674,113499.331031365,39.6711613461381,0.44859335479854,0.013856520923572
27,2,"Schooling Economy_status_Developed",0.547734138303245,0.547417979015097,6.32423417671665,0.546979850009236,4822.85736042319,18700.3398152214,10568.1105758391,18724.1797133338,114668.49386817,40.0798161559711,0.453214339561201,0.0139992577059304
28,2,"Alcohol_consumption Schooling",0.540863877690417,0.540542915703482,6.37208807840618,0.539988709045742,4939.53539488305,18743.51900387,10611.2422290752,18767.3589019823,116410.395045498,40.6886588868214,0.460099008270386,0.0142119170219908
29,2,"Thinness_five_nine_years Schooling",0.540768621364914,0.540447592788448,6.37274904820085,0.539750028828983,4941.15313858388,18744.1131322923,10611.8357075529,18767.9530304046,116434.546546422,40.6971005056504,0.460194464364485,0.0142148655484257
30,2,"Thinness_ten_nineteen_years Schooling",0.540131121140546,0.539809646915548,6.37717080615335,0.539131560972353,4951.97984186907,18748.0861502966,10615.8043821565,18771.9260484089,116596.179773159,40.7535957973715,0.460833301534448,0.0142345984769626
31,2,"Population_mln Schooling",0.539125332301616,0.53880315497362,6.38414081896504,0.538495088938098,4969.06121205594,18754.3432245736,10622.0546261559,18778.183122686,116851.18971549,40.8427288387308,0.461841199682372,0.0142657312648788
32,2,"Polio Economy_status_Developed",0.538446022432867,0.538123370229045,6.38884406398316,0.537688165658408,4980.5979709566,18758.5615320293,10626.2683358417,18782.4014301416,117023.423452582,40.9029293025693,0.462521934178599,0.0142867583525283
33,2,"BMI Polio",0.528966289906239,0.528637010835918,6.45411996811521,0.527951947781975,5141.59281827676,18816.7885266145,10684.4324365462,18840.6284247268,119426.935950792,41.743023523808,0.472021547304723,0.0145801902249356
34,2,"BMI Diphtheria",0.527549063177885,0.527218793386328,6.46382212023287,0.526530903294989,5165.66166200294,18825.3926738385,10693.0273798599,18849.2325719508,119786.262771968,41.868618205022,0.473441746196786,0.0146240584977332
35,2,"BMI GDP_per_capita",0.522551888171581,0.522218125073483,6.49791654571236,0.521352440576144,5250.52897496902,18855.5264891527,10723.1291420309,18879.3663872651,121053.257652852,42.3114680252593,0.478449401122711,0.0147787390664863
36,2,"Diphtheria Economy_status_Developed",0.521591759495529,0.521257325213457,6.50444678689901,0.520748121438746,5266.83489596147,18861.2800931254,10728.876657882,18885.1199912377,121296.690815792,42.3965546614203,0.479411543350688,0.0148084585078708
37,2,"BMI Economy_status_Developed",0.510146264798608,0.509803829471658,6.58179348116984,0.509166340561738,5461.21439623309,18928.991982095,10796.5176622504,18952.8318802073,124198.607032834,43.4108547935278,0.490881041182241,0.015162737801101
38,2,"Incidents_HIV Economy_status_Developed",0.493672235835366,0.493318284235111,6.69155281901804,0.4923838277992,5740.99378560249,19023.7255637458,10891.154406905,19047.5654618582,128375.469027388,44.8707838045696,0.507389618965399,0.0156726683451535
39,2,"Polio Thinness_ten_nineteen_years",0.490366785108337,0.490010522812013,6.71335946081484,0.489005252373153,5797.13044701435,19042.3617997449,10909.7719093062,19066.2016978572,129213.54036667,45.1637129612273,0.510702001780635,0.0157749839530314
40,2,"Polio Thinness_five_nine_years",0.486550028528585,0.486191098104627,6.73845149012567,0.485171539065801,5861.95064537853,19063.7310133198,10931.1197687912,19087.5709114321,130181.24933064,45.5019540600683,0.514526762743288,0.0158931263190289
41,2,"Diphtheria Thinness_ten_nineteen_years",0.47822977574833,0.477865028999465,6.79282904823625,0.476797447252431,6003.25398091673,19109.7689812298,10977.1121885242,19133.6088793421,132290.784751543,46.2392951464654,0.522864464498266,0.0161506681162636
42,2,"Diphtheria Thinness_five_nine_years",0.475273534258507,0.474906720930481,6.81204524570452,0.473835221258415,6053.46000159914,19125.9500131037,10993.2773589099,19149.7899112161,133040.31680306,46.5012773685599,0.525826905725572,0.0162421744402247
43,2,"Measles Incidents_HIV",0.475118107744676,0.47475118576477,6.81305405136037,0.473702559876097,6056.09961909819,19126.7982181232,10994.1247345794,19150.6381162355,133079.723987545,46.5150512715397,0.525982658195041,0.0162469854507513
44,2,"Alcohol_consumption Polio",0.457652462719058,0.457273331270417,6.92547993642235,0.456674707847343,6352.71968156824,19220.547645176,11087.7837775059,19244.3875432883,137508.002527097,48.0628573319971,0.543484931626865,0.0167876100842283
45,2,"Alcohol_consumption Incidents_HIV",0.450629092348589,0.450245051168826,6.9701779821389,0.448950581271236,6471.9979879224,19257.3981909261,11124.5994838484,19281.2380890384,139288.723493385,48.6852686548142,0.550523031190701,0.017005008698865
46,2,"Hepatitis_B GDP_per_capita",0.448287768625446,0.447902090728644,6.98501503678615,0.446602507493973,6511.76082450832,19269.5781272303,11136.7679894092,19293.4180253426,139882.347924784,48.8927568433614,0.552869265064959,0.0170774811027081
47,2,"Hepatitis_B Incidents_HIV",0.447952517391576,0.447566605135297,6.9871369575469,0.445915953284726,6517.45441565755,19271.3179253968,11138.506158205,19295.1578235091,139967.348269296,48.9224668191909,0.553205219377263,0.0170878583361379
48,2,"Measles Polio",0.446117968770891,0.445730774061887,6.99873705647328,0.444915784043468,6548.61066128569,19280.8197101005,11147.9990592355,19304.6596082128,140432.48381252,49.0850445807987,0.555043615356119,0.017144644224904
49,2,"Measles GDP_per_capita",0.444592481726925,0.444204220616633,7.0083682965095,0.443210897079994,6574.51809623096,19288.6968196433,11155.8688233128,19312.5367177556,140819.259195235,49.2202332948906,0.556572301603952,0.0171918635444773
50,2,"Alcohol_consumption Diphtheria",0.44293931126446,0.442549894494984,7.01879075068181,0.441891521376432,6602.59398607818,19297.2088538028,11164.372939482,19321.0487519151,141238.407716256,49.3667373179038,0.558228939043968,0.0172430351258322
51,2,"Incidents_HIV Thinness_ten_nineteen_years",0.442802861414068,0.442413349258468,7.01965031080461,0.44082467074452,6604.91132180143,19297.9102935664,11165.0737276627,19321.7501916787,141273.003515227,49.3788295083196,0.558365675052732,0.017247258740262
52,2,"Measles Diphtheria",0.436659369195219,0.436265562392839,7.05824252849882,0.435383058057353,6709.24660647407,19329.31510382,11196.4495059321,19353.1550019323,142830.638215276,49.9232659991999,0.564522051211921,0.0174374219563478
53,2,"Incidents_HIV Thinness_five_nine_years",0.433823877888326,0.433428088917958,7.07598353950341,0.43182569935308,6757.40191979631,19343.6944640924,11210.8156647808,19367.5343622047,143549.554996476,50.1745473359467,0.567363489022778,0.0175251906271451
54,2,"Measles BMI",0.428300217157656,0.427900566837598,7.11041669834244,0.426933313586899,6851.21057035526,19371.500463901,11238.59629847,19395.3403620133,144950.036240513,50.6640543391121,0.572898733802517,0.0176961678257306
55,2,"Hepatitis_B Polio",0.415739871531007,0.415331440822535,7.18810089064429,0.414645382891817,7064.52364862733,19433.7418017228,11300.7816242422,19457.5816998352,148134.614245291,51.7771525988015,0.585485420594409,0.018084955771483
56,2,"Alcohol_consumption BMI",0.41524694358085,0.414838168288001,7.19113247593131,0.41396143704013,7072.89507259446,19436.1570794137,11303.1947496178,19459.9969775261,148259.592295631,51.8208358906297,0.585979382297695,0.0181002136673118
57,2,"Polio Diphtheria",0.414081877369704,0.413672287630012,7.19829274329411,0.41288704901746,7092.68145963169,19441.8576566383,11308.8902531684,19465.6975547506,148554.985777658,51.9240840981708,0.587146891849373,0.0181362766636943
58,2,"Polio Population_mln",0.413444322844079,0.413034287417896,7.20220801419806,0.412621306309192,7103.50908511826,19444.9723639207,11312.0021919826,19468.8122620331,148716.632772057,51.9805842020712,0.587785783434472,0.0181560112730507
59,2,"GDP_per_capita Thinness_ten_nineteen_years",0.412162200751827,0.41175126905015,7.21007518672965,0.41052428813797,7125.28343897353,19451.2258031723,11318.2500808472,19475.0657012846,149041.704862889,52.0942059058058,0.589070594353203,0.0181956975706469
60,2,"Hepatitis_B BMI",0.408709456700248,0.40829611133618,7.23121885582351,0.407148032822855,7183.92159145917,19467.9986800006,11335.0081225086,19491.8385781129,149917.121279731,52.4001882019307,0.592530579391957,0.0183025724375434
61,2,"GDP_per_capita Thinness_five_nine_years",0.405143933077512,0.404728095211785,7.25298846658737,0.403507060477908,7244.47508594295,19485.2169400787,11352.2112320215,19509.056838191,150821.13208023,52.716165027515,0.596103580519669,0.0184129382384553
62,2,"Hepatitis_B Economy_status_Developed",0.404438658555843,0.404022327663537,7.25728684474682,0.403134331096002,7256.45280405007,19488.6105505084,11355.6018657275,19512.4504486207,150999.948953252,52.7786664797845,0.596810334121076,0.0184347690256503
63,2,"Hepatitis_B Diphtheria",0.402455874281249,0.402038157311155,7.26935753871568,0.401334475188983,7290.12654438615,19498.1297414711,11365.1127232823,19521.9696395834,151502.668494321,52.9543808901195,0.598797276629031,0.0184961433419234
64,2,"Measles Economy_status_Developed",0.396522406286523,0.396100541488401,7.3053598630346,0.395346458895466,7390.89497547919,19526.4282981373,11393.386648796,19550.2681962496,153007.053184816,53.4802050270635,0.604743188107843,0.0186798055516609
65,2,"Diphtheria Population_mln",0.395697716660045,0.395275275357465,7.31034977293223,0.394790949929183,7404.90072723732,19530.3394602657,11397.2944233322,19554.179358378,153216.146829475,53.5532890500118,0.605569607247694,0.0187053326665423
66,2,"BMI Thinness_ten_nineteen_years",0.377193238659434,0.37675786168541,7.42143176180936,0.375346050517095,7719.16335037353,19616.7227249028,11483.6038920287,19640.5626230151,157907.813395211,55.1931565242984,0.624112892262637,0.019278112922988
67,2,"BMI Population_mln",0.37441950422713,0.373982188256649,7.43793946013494,0.373272417240092,7766.26984311276,19629.449526528,11496.3199854437,19653.2894246403,158611.072200882,55.4389649647036,0.626892443684312,0.0193639699960378
68,2,"BMI Thinness_five_nine_years",0.373598510600227,0.373160620709,7.44281852745754,0.371729866456013,7780.21282549574,19633.2056925309,11500.0729990299,19657.0455906432,158819.228753577,55.511721448043,0.627715159073453,0.0193893827064175
69,2,"GDP_per_capita Economy_status_Developed",0.372649922320601,0.372211369312786,7.44845189493793,0.37156148792034,7796.32275526633,19637.539497445,11504.4031712497,19661.3793955573,159059.735938704,55.5957853738774,0.628665736702844,0.0194187449309584
70,2,"Alcohol_consumption GDP_per_capita",0.364505540575675,0.364061294186703,7.49664461911116,0.363102590386016,7934.63926281109,19674.4812302237,11541.3141342047,19698.321128336,161124.680625607,56.3175407630993,0.636827198591241,0.0196708428860748
71,2,"Thinness_ten_nineteen_years Economy_status_Developed",0.349869114200539,0.349414636125881,7.58248288146767,0.348539502242912,8183.21054084651,19739.6954646429,11606.4748966597,19763.5353627552,164835.632767235,57.6146213698358,0.651494320023437,0.0201238930100675
72,2,"Thinness_five_nine_years Economy_status_Developed",0.34443280642711,0.343974528067394,7.61411874080679,0.343111118794991,8275.5356710662,19763.5442788151,11630.3044232643,19787.3841769275,166213.96634794,58.0963871509383,0.656942028652036,0.0202921663199377
73,2,"Measles Thinness_ten_nineteen_years",0.342530543822225,0.342070935673901,7.62515770187428,0.340490716718381,8307.84190721537,19771.8427279301,11638.596194332,19795.6826260424,166696.270245531,58.2649657281453,0.658848280622747,0.0203510482004542
74,2,"GDP_per_capita Population_mln",0.342508890902279,0.342049267617345,7.62528326327365,0.341201047888815,8308.20964001068,19771.9370485727,11638.69043917,19795.776946685,166701.76017508,58.2668846106527,0.658869978952522,0.0203517184363311
75,2,"Measles Thinness_five_nine_years",0.329650744224645,0.329182132371604,7.69948371929371,0.327587624441671,8526.58029080396,19827.4058898224,11694.115081794,19851.2457879347,169961.843321592,59.4063740096815,0.671755091334478,0.0207497243974389
76,2,"Hepatitis_B Thinness_ten_nineteen_years",0.326102084022588,0.325630991456368,7.71983638362304,0.323780315027518,8586.84739283628,19842.5271958468,11709.2244700788,19866.3670939592,170861.578532853,59.7208563983474,0.675311193676071,0.0208595682147303
77,2,"Hepatitis_B Thinness_five_nine_years",0.317121108135644,0.316643737361883,7.77110690628203,0.314783874733978,8739.37182721702,19880.4433666873,11747.1110024427,19904.2832647996,173138.635161798,60.5167507890925,0.684311004185638,0.02113756177237
78,2,"Incidents_HIV Population_mln",0.305873126369701,0.305387892623717,7.83484607395143,0.304046126923908,8930.39695392618,19927.2332016953,11793.864740956,19951.0730998076,175990.473510416,61.5135473184909,0.695582574868251,0.0214857273288467
79,2,"Alcohol_consumption Measles",0.305858743203169,0.305373499402542,7.8349272473769,0.304335829103879,8930.64122407762,19927.2925466994,11793.9240405109,19951.1324448117,175994.120250493,61.5148219552017,0.695596988198712,0.0214861725396662
80,2,"Hepatitis_B Measles",0.292897351073754,0.292403046530639,7.90773799120447,0.290901951905691,9150.76529836668,19980.2775918822,11846.8688409958,20004.1174899945,179280.380478799,62.6634609697039,0.708585562555591,0.021887374319448
81,2,"Alcohol_consumption Hepatitis_B",0.285817112887239,0.285317858859198,7.94722957837624,0.284047515455682,9271.00939413906,20008.8122802231,11875.38213011,20032.6521783354,181075.519837825,63.2909119203271,0.715680649196884,0.0221065331978576
82,2,"Alcohol_consumption Economy_status_Developed",0.278546222859068,0.278041886069735,7.9875813622974,0.277338623596694,9394.49134119601,20037.8224157332,11904.3707047251,20061.6623138455,182918.997489407,63.9352584436885,0.722966787508931,0.022331593437589
83,2,"Population_mln Economy_status_Developed",0.276365516664109,0.275859655438428,7.99964410698317,0.275514119111016,9431.52640098504,20046.4662438702,11913.0081463738,20070.3061419825,183471.89859498,64.1285127013861,0.725152067012932,0.0223990941503106
84,2,"Alcohol_consumption Thinness_ten_nineteen_years",0.264102662443352,0.263588228792491,8.06714113569626,0.2622172562262,9639.78716545646,20094.5935137764,11961.1001721242,20118.4334118887,186581.04996613,65.2152472624946,0.73744063850923,0.0227786736653387
85,2,"Alcohol_consumption Thinness_five_nine_years",0.259522586615369,0.259004951233765,8.09220632145187,0.257638555065039,9717.57085888555,20112.3632287398,11978.8570080716,20136.2031268521,187742.292592374,65.6211337392614,0.742030319529443,0.0229204435119243
86,2,"Measles Population_mln",0.24571177354237,0.245184483625238,8.16732248000607,0.244286540008824,9952.12069832556,20165.2883070136,12031.7441510954,20189.1282051259,191243.91689856,66.8450484668811,0.755870096209026,0.0233479379299464
87,2,"Population_mln Thinness_ten_nineteen_years",0.241740901820941,0.241210836041019,8.18879226953979,0.239807632079774,10019.5582430795,20180.3259888794,12046.7711691274,20204.1658869917,192250.700558798,67.1969472548567,0.759849295518826,0.0234708507147782
88,2,"Population_mln Thinness_five_nine_years",0.232362009804861,0.231825387651631,8.23928013452704,0.230376612833634,10178.8405101603,20215.5334549797,12081.9538649691,20239.373353092,194628.64572937,68.0281049865964,0.769247856654828,0.0237611612101063
89,2,"Thinness_ten_nineteen_years Thinness_five_nine_years",0.22189779098252,0.22135385375147,8.29524778703874,0.219759795425957,10356.5549453403,20254.310968251,12120.7044128393,20278.1508663633,197281.767075657,68.9554444170849,0.77973402071063,0.0240850664799748
90,2,"Hepatitis_B Population_mln",0.178273087097098,0.177698653743094,8.52461540870433,0.176514136965854,11097.4358216407,20410.5428198227,12276.8309141859,20434.382717935,208342.471660387,72.8214671697789,0.823450212964914,0.0254354082230941
91,2,"Alcohol_consumption Population_mln",0.161087338811235,0.160500891652068,8.61329682299163,0.159929764241666,11389.3023815456,20469.8232815333,12336.0727499519,20493.6631796456,212699.784557152,74.3444687715714,0.840672002666267,0.0259673690441484
92,3,"Polio Incidents_HIV Schooling",0.778353529670743,0.778121033373195,4.42732546183893,0.777494292836455,908.234861002582,16659.7735074649,8530.06596077077,16689.5733801053,56216.3958242086,19.6560393065719,0.222266460456052,0.00686555614753747
93,3,"Diphtheria Incidents_HIV Schooling",0.775202454484486,0.774966652863316,4.4586853141449,0.774295366603228,961.749753651796,16700.2033435944,8570.40004648779,16730.0032162348,57015.6058891345,19.9354827717758,0.225426349838634,0.00696316150793062
94,3,"Polio Incidents_HIV GDP_per_capita",0.744386701842386,0.744118576005158,4.75447711396228,0.743330886547926,1485.0954680731,17068.1286757473,8937.49513605513,17097.9285483877,64831.4332541081,22.6682835436308,0.256328300390223,0.0079176873331273
95,3,"Hepatitis_B Incidents_HIV Schooling",0.737379809284754,0.737104333560227,4.81920161144668,0.736198978758466,1604.09393077615,17145.5801091702,9014.78117344053,17175.3799818106,66608.5977852302,23.2896683792438,0.263354792647317,0.00813472762347221
96,3,"Incidents_HIV GDP_per_capita Schooling",0.735821227659648,0.735544117059291,4.83348080277112,0.734750284718003,1630.5634129124,17162.5269564937,9031.69226158007,17192.3268291341,67003.9022601046,23.4278864236822,0.264917733941304,0.00818300508821951
97,3,"Diphtheria Incidents_HIV GDP_per_capita",0.732450072302849,0.732169425525544,4.86422279012535,0.73127840539631,1687.81593986249,17198.8429135096,9067.93210758416,17228.64278615,67858.9314588155,23.7268470256867,0.268298319103297,0.00828742748822342
98,3,"BMI Incidents_HIV Schooling",0.731758843355406,0.731477471512772,4.87050222134383,0.730688811223631,1699.55512116789,17206.2326624683,9075.3064555175,17236.0325351087,68034.2484853256,23.7881465507393,0.268991481558285,0.00830883848178638
99,3,"Measles Incidents_HIV Schooling",0.722361516227181,0.722070287048398,4.95508228901452,0.721339502904354,1859.15047282751,17304.8500208944,9173.72106890666,17334.6498935348,70417.701110333,24.6215197650058,0.27841509491624,0.00859992309477284
100,3,"Incidents_HIV Schooling Economy_status_Developed",0.713928880114578,0.7136288055133,5.02976908581197,0.7128020268876,2002.36242101714,17390.5426236033,9259.24167568406,17420.3424962437,72556.4782758045,25.3693423070977,0.286871318822164,0.00886112615664348
101,3,"BMI Polio Incidents_HIV",0.71318168784426,0.712880829474866,5.03633345651753,0.712197741606317,2015.05203068078,17398.0133841233,9266.69762418644,17427.8132567637,72745.9893307858,25.4356047682735,0.287620601140791,0.00888427062845598
102,3,"Polio Incidents_HIV Economy_status_Developed",0.712436772171307,0.712135132421837,5.04286932053293,0.711509152362606,2027.70297675933,17405.4420340187,9274.1115744993,17435.2419066591,72934.9229703072,25.501665336375,0.288367600493948,0.00890734458208241
103,3,"BMI Diphtheria Incidents_HIV",0.71092742492216,0.710624201941309,5.05608637801927,0.709911409354374,2053.3363086331,17420.4351384082,9289.07509879861,17450.2350110486,73317.740085636,25.6355171807668,0.289881169693443,0.00895409699943316
104,3,"Incidents_HIV Population_mln Schooling",0.708558662849432,0.70825295515312,5.07675978574223,0.707507503051265,2093.56513230143,17443.8081259835,9312.40220725825,17473.6079986239,73918.5313641799,25.8455836002333,0.292256557674066,0.0090274700109064
105,3,"Incidents_HIV Thinness_five_nine_years Schooling",0.708541934576974,0.708236209333523,5.07690548264837,0.707353148631242,2093.84922952282,17443.9725103425,9312.5662699522,17473.7723829829,73922.7741711353,25.8470670959122,0.292273332738895,0.00902798817342728
106,3,"Incidents_HIV Thinness_ten_nineteen_years Schooling",0.708491255883745,0.708185477480826,5.07734684931921,0.707301008621394,2094.70990870927,17444.4704590264,9313.0632443426,17474.2703316668,73935.6278541837,25.8515613808184,0.292324153190706,0.00902955795892096
107,3,"Alcohol_consumption Incidents_HIV Schooling",0.70831891609269,0.708012956913767,5.07884748973199,0.707084676304258,2097.63676537639,17446.1631537622,9314.75262809181,17475.9630264026,73979.3385521064,25.8668448080799,0.292496975051106,0.00903489622805822
108,3,"Diphtheria Incidents_HIV Economy_status_Developed",0.697816692650223,0.697499717153003,5.16947303498454,0.696764121511716,2275.99663522429,17547.4708077409,9415.86481986243,17577.2706803813,76643.0270340344,26.7982023726055,0.303028575342364,0.00936020528716994
109,3,"BMI Incidents_HIV GDP_per_capita",0.695195914270054,0.694876189704603,5.19184156864038,0.693943143402763,2320.50546645872,17572.2026424036,9440.54973902895,17602.002515044,77307.7374378058,27.0306180874954,0.305656684571148,0.0094413845682682
110,3,"BMI Incidents_HIV Economy_status_Developed",0.679288951458613,0.678952541267835,5.32559333054587,0.678198010037266,2590.65433848249,17717.8981289081,9585.9751504399,17747.6980015485,81342.2348806957,28.4412784323473,0.321608142383461,0.00993410681264461
111,3,"Alcohol_consumption Polio Incidents_HIV",0.67452781945781,0.674186415072626,5.36497837770234,0.67341876339728,2671.51291939576,17760.1032750725,9628.10405287964,17789.9031477129,82549.8051196029,28.8635048617262,0.326382592236014,0.0100815840949528
112,3,"Polio Incidents_HIV Thinness_ten_nineteen_years",0.671406689621142,0.671062011323541,5.39064085008107,0.670093218735308,2724.5192484361,17787.4368795095,9655.3887510141,17817.2367521499,83341.4201182819,29.1402927151909,0.329512452505792,0.0101782618904781
113,3,"Polio Incidents_HIV Thinness_five_nine_years",0.667412351130177,0.667063482967027,5.42330585432405,0.66607591579218,2792.35533069807,17822.0413987448,9689.93188366727,17851.8412713852,84354.5078220038,29.4945184074183,0.333517963971556,0.0103019875475628
114,3,"Alcohol_consumption Diphtheria Incidents_HIV",0.662158625600597,0.661804246536542,5.46597268181113,0.660941971878211,2881.57965608077,17866.9290077358,9734.74073997729,17896.7288803762,85687.0150055555,29.9604289872798,0.338786385236883,0.0104647230405011
115,3,"Diphtheria Incidents_HIV Thinness_ten_nineteen_years",0.660110167424001,0.659753639627593,5.48251875331674,0.658682906401953,2916.36874010361,17884.2420723345,9752.02369259345,17914.0419449749,86206.5673156546,30.1420902353802,0.340840573366421,0.0105281745568118
116,3,"Diphtheria Incidents_HIV Thinness_five_nine_years",0.656643090243397,0.656282925652743,5.51041027212348,0.65520030010417,2975.25031295081,17913.3085681121,9781.03996127583,17943.1084407525,87085.9252537639,30.4495573709481,0.344317348665014,0.0106355681598587
117,3,"Polio GDP_per_capita Schooling",0.655690771616189,0.655329608089912,5.51804668858059,0.654818271918534,2991.42359543075,17921.241028766,9788.95878559208,17951.0409014064,87327.4626931751,30.5340108356975,0.345272331120549,0.0106650664730767
118,3,"Diphtheria GDP_per_capita Schooling",0.651309167109065,0.650943407494144,5.55304642306707,0.650403335541612,3065.83663890644,17957.4577139651,9825.11359745753,17987.2575866055,88438.7730287367,30.9225800300995,0.349666191864057,0.0108007877941304
119,3,"Measles Polio Incidents_HIV",0.647329338654045,0.646959404393892,5.5846467214052,0.646133457831791,3133.42629638639,17989.9612121728,9857.56210155623,18019.7610848132,89448.1805388472,31.2755189441687,0.353657152706363,0.0109240639991379
